ID	R_Sun	R_gc	V_HB	(m-M)V	V_t	M_Vt	[Fe/H	v_LSR	c	e   r	(tc) l	rho_0
Terzan12	4.8	3.4	20.5	19.77	15.63	-4.14	-0.5	106.3	0.57		8.48	3.4
NGC 6569	10.7	2.9	17.52	16.85	8.55	-8.3	-0.86	-18.5	1.27	0	8.46	3.66
NGC 6584	13.4	7	16.53	15.95	8.27	-7.68	-1.49	226	1.2	0.03	9.01	2.92
NGC 6624	7.9	1.2	16.09	15.36	7.87	-7.49	-0.44	63.9	2.50c	0.06	6.61	5.25
NGC 6626	5.6	2.7	15.55	14.97	6.79	-8.18	-1.45	28.5	1.67	0.16	7.58	4.73
NGC 6638	9.6	2.3	16.8	16.15	9.02	-7.13	-0.99	29.4	1.4	0.01	8.07	3.99
NGC 6637	9.1	1.9	15.98	15.28	7.64	-7.64	-0.7	49.3	1.39	0.01	8.21	3.78
NGC 6642	8.4	1.7	16.5	15.9	9.13	-6.77	-1.35	-45.3	1.99	0.03	7.04	4.68
NGC 6652	10.1	2.8	15.96	15.3	8.62	-6.68	-0.96	-102.6	1.8	0.2	6.71	4.52
NGC 6656	3.2	4.9	14.15	13.6	5.1	-8.5	-1.64	-137.2	1.31	0.14	8.62	3.64
Pal 8	12.9	5.6	17.27	16.54	11.02	-5.52	-0.48	-30.3	1.53		8.33	2.55
NGC 6681	9	2.1	15.55	14.98	7.87	-7.11	-1.51	229.6	2.50c	0.01	5.62	5.41
NGC 6712	6.9	3.5	16.25	15.6	8.1	-7.5	-1.01	-92.4	0.9	0.11	8.86	3.14
NGC 6715	26.8	19.2	18.17	17.61	7.6	-10.01	-1.58	151.6	1.84	0.06	8.46	4.58
NGC 6717	7.1	2.4	15.55	14.94	9.28	-5.66	-1.29	34.6	2.07c	: 0.01	6.59	4.69
NGC 6723	8.7	2.6	15.48	14.85	7.01	-7.84	-1.12	-86.7	1.05	0	8.98	2.82
NGC 6749	7.9	5	19.7	19.14	12.44	-6.7	-1.6	-44.9	0.83		8.9	3.33
NGC 6752	4	5.2	13.7	13.13	5.4	-7.73	-1.56	-27.8	2.50c	0.04	6.83	4.91
NGC 6760	7.4	4.8	17.46	16.74	8.88	-7.86	-0.52	-10.9	1.59	0.04	7.94	3.84
NGC 6779	10.1	9.7	16.16	15.65	8.27	-7.38	-1.94	-116.9	1.37	0.03	8.19	3.26
Terzan 7	23.2	16	17.76	17.05	12	-5.05	-0.58	174.1	1.08		9.14	1.51
Pal 10	5.9	6.4	19.8	19.01	13.22	-5.79	-0.1	-13.3	0.58		8.71	3.5
Arp 2	28.6	21.4	18.13	17.59	12.3	-5.29	-1.76	124.1	0.9		9.73	-0.36
NGC 6809	5.3	3.9	14.4	13.87	6.32	-7.55	-1.81	183.4	0.76	0.02	9.46	2.15
Terzan 8	26	19.1	17.95	17.45	12.4	-5.05	-2	137.7	0.6		9.46	0.53
Pal 11	13	7.9	17.4	16.66	9.8	-6.86	-0.39	-53.9	0.69		10.02	1.79
NGC 6838	4	6.7	14.48	13.79	8.19	-5.6	-0.73	-5.4	1.15	0	7.65	3.04
NGC 6864	20.7	14.6	17.7	17.07	8.52	-8.55	-1.16	-179.1	1.88	0.07	7.95	4.47
NGC 6934	15.7	12.8	16.86	16.29	8.83	-7.46	-1.54	-396.7	1.53	0.01	8.33	3.43
NGC 6981	17	12.9	16.9	16.31	9.27	-7.04	-1.4	-334.7	1.23	0.02	8.93	2.35
NGC 7006	41.5	38.8	18.8	18.24	10.56	-7.68	-1.63	-369.7	1.42	0.01	9.08	2.46
NGC 7078	10.3	10.4	15.83	15.37	6.2	-9.17	-2.26	-94.5	2.50c	0.05	7.02	5.38
NGC 7089	11.5	10.4	16.05	15.49	6.47	-9.02	-1.62	5.1	1.8	0.11	8.54	3.9
NGC 7099	8	7.1	15.1	14.62	7.19	-7.43	-2.12	-176.3	2.50c	0.01	6.38	5.04
Pal 12	19.1	15.9	17.13	16.47	11.99	-4.48	-0.94	33.5	1.94		7.71	1.99
Pal 13	25.8	26.7	17.75	17.21	13.47	-3.74	-1.74	30.4	0.68		8.87	0.4
NGC 7492	25.8	24.9	17.63	17.06	11.29	-5.77	-1.51	-206.1	1	0.24	9.4	0.97


ID												
NGC												
NGC												
NGC												
NGC												
Pal												
AM												
Eri
Pal
NGC
NGC
NGC
NGC
Pyx
NGC
E 3
Pal
NGC
Pal
NGC
NGC
Rup
NGC
NGC
NGC
NGC
NGC
NGC
NGC
AM
NGC
NGC
NGC
IC
NGC
Pal
NGC
NGC
NGC
NGC
BH
NGC
Lyn
Pal
NGC
NGC
NGC
NGC
NGC
Ter
NGC
163
NGC
NGC
NGC
NGC
NGC
NGC
Pal
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
IC
Ter
NGC
Ter
HP
NGC
Lil
NGC
Ter
Ton
NGC
NGC
NGC
NGC
Pal
NGC
Djo
Ter
NGC
NGC
Ter
NGC
UKS
NGC
Ter
Djo
NGC
Ter
NGC
NGC
NGC
NGC
NGC
NGC
NGC
2MS
ESO
NGC
2MS
NGC
IC
Ter
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
Pal
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
Ter
Pal
Arp
NGC
Ter
Pal
NGC
NGC
NGC
NGC
NGC
NGC
NGC
NGC
Pal
Pal
NGC
