Time    Ener
27051   5.53
27105   2.69
27149   3.44
27149   6.32
27161   4.22
27183   3.44
27190   3.56
27256   3.20
27259   4.31
27262   4.38
27325   3.99
27334   6.56
27356   1.88
27394   2.74
27400   2.75
27409   6.04
27425   3.02
27479   5.45
27491   3.35
27513   1.45
27541   3.84
27642   2.64
27673   5.30
27686   3.20
27689   3.95
27692   2.80
27698   4.63
27730   5.67
27761   2.37
27812   5.16
27818   4.17
27827   7.69
27846   4.49
27849   7.91
27887   4.81
27956   1.88
27984   4.63
28009   4.64
28060   4.71
28072   3.08
28101   3.84
28107   4.25
28116   3.76
28138   9.57
28160   6.00
28210   3.12
28220   2.81
28229   5.42
28236   5.44
28245   6.23
28258   6.96
28298   3.53
28314   4.15
28330   2.80
28415   2.64
28433   3.35
28462   3.81
28487   2.94
28521   3.37
28525   2.53
28562   2.32
28600   4.68
28616   7.21
28641   8.59
28644   2.48
28644   2.64
28669   8.34
28744   3.84
28751   3.74
28788   6.20
28798   8.45
28895   2.94
28974   3.99
28989   4.72
29021   3.33
29062   2.93
29071   5.15
29096   2.94
29118   7.40
29131   4.90
29175   4.00
29216   2.32
29253   3.23
29275   4.54
29429   3.98
29448   4.32
29492   3.06
29520   2.92
29527   2.71
29542   4.71
29592   6.54
29621   4.12
29633   2.37
29677   3.18
29809   4.11
29841   3.99
29878   3.36
29903   3.80
30017   5.74
30095   5.50
30139   4.35
30158   5.29
30262   2.67
30284   2.31
30296   2.79
30306   3.08
30409   4.35
30557   3.07
30572   1.57
30579   1.87
30585   2.89
30610   4.29
30764   3.19
30852   4.35
30868   3.59
30877   2.70
30902   4.02
30915   1.69
30940   4.03
31012   7.52
31019   7.49
31037   3.69
31041   5.47
31044   3.39
31059   4.43
31062   2.10
31075   2.69
31078   3.42
31091   3.29
31094   4.60
31119   3.17
31163   2.79
31204   4.15
31210   4.37
31242   3.85
31245   3.97
31339   2.93
31342   3.33
31395   5.69
31399   5.99
31411   3.30
31468   3.73
31483   4.15
31556   5.11
31568   3.04
31596   2.26
31656   3.61
31659   4.48
31691   2.37
31694   3.96
31697   5.21
31722   2.67
31757   3.62
31801   6.89
31804   4.10
31819   3.55
31823   4.70
31841   2.14
31845   3.43
31854   3.76
31857   5.21
31907   5.35
31911   4.05
31926   6.71
31977   5.59
31989   3.55
31999   3.29
32002   6.13
32042   5.71
32099   3.94
32115   4.03
32130   3.56
32143   3.35
32231   4.04
32306   5.28
32309   2.56
32328   5.06
32335   3.13
32363   2.76
32363   4.94
32394   5.02
32413   3.85
32416   2.05
32432   2.72
32470   4.00
32473   3.53
32485   3.26
32501   3.37
32526   3.50
32532   5.17
32567   3.27
32576   3.52
32580   2.77
32624   7.47
32696   4.58
32708   4.98
32755   4.53
32806   4.62
32812   4.67
32869   3.85
32878   6.05
32891   3.24
